시행 : 0 S | 0 B
54424번째 시행 : 0 S | 0 B
54425번째 시행 : 0 S | 0 B
54426번째 시행 : 0 S | 1 B
54427번째 시행 : 0 S | 1 B
54428번째 시행 : 0 S | 1 B
54429번째 시행 : 0 S | 1 B
54430번째 시행 : 0 S | 2 B
54431번째 시행 : 0 S | 0 B
54432번째 시행 : 0 S | 1 B
54433번째 시행 : 1 S | 0 B
54434번째 시행 : 2 S | 0 B
54435번째 시행 : 0 S | 1 B
54436번째 시행 : 0 S | 1 B
54437번째 시행 : 0 S | 1 B
54438번째 시행 : 0 S | 1 B
54439번째 시행 : 0 S | 0 B
54440번째 시행 : 0 S | 2 B
54441번째 시행 : 0 S | 0 B
54442번째 시행 : 0 S | 1 B
54443번째 시행 : 0 S | 2 B
54444번째 시행 : 0 S | 0 B
54445번째 시행 : 0 S | 1 B
54446번째 시행 : 0 S | 1 B
54447번째 시행 : 0 S | 0 B
54448번째 시행 : 0 S | 1 B
54449번째 시행 : 0 S | 0 B
54450번째 시행 : 0 S | 0 B
54451번째 시행 : 0 S | 0 B
54452번째 시행 : 0 S | 1 B
54453번째 시행 : 0 S | 1 B
54454번째 시행 : 0 S | 1 B
54455번째 시행 : 0 S | 1 B
54456번째 시행 : 0 S | 2 B
54457번째 시행 : 0 S | 0 B
54458번째 시행 : 0 S | 1 B
54459번째 시행 : 2 S | 0 B
54460번째 시행 : 0 S | 0 B
54461번째 시행 : 0 S | 1 B
54462번째 시행 : 0 S | 0 B
54463번째 시행 : 0 S | 0 B
54464번째 시행 : 0 S | 1 B
54465번째 시행 : 1 S | 0 B
54466번째 시행 : 0 S | 0 B
54467번째 시행 : 0 S | 1 B
54468번째 시행 : 0 S | 1 B
54469번째 시행 : 1 S | 1 B
54470번째 시행 : 0 S | 2 B
54471번째 시행 : 0 S | 1 B
54472번째 시행 : 0 S | 1 B
54473번째 시행 : 1 S | 1 B
54474번째 시행 : 0 S | 0 B
54475번째 시행 : 0 S | 0 B
54476번째 시행 : 1 S | 1 B
54477번째 시행 : 1 S | 1 B
54478번째 시행 : 0 S | 1 B
54479번째 시행 : 1 S | 0 B
54480번째 시행 : 0 S | 1 B
54481번째 시행 : 0 S | 1 B
54482번째 시행 : 1 S | 2 B
54483번째 시행 : 0 S | 0 B
54484번째 시행 : 0 S | 1 B
54485번째 시행 : 0 S | 2 B
54486번째 시행 : 0 S | 1 B
54487번째 시행 : 2 S | 0 B
54488번째 시행 : 0 S | 0 B
54489번째 시행 : 0 S | 2 B
54490번째 시행 : 0 S | 0 B
54491번째 시행 : 0 S | 1 B
54492번째 시행 : 1 S | 1 B
54493번째 시행 : 0 S | 1 B
54494번째 시행 : 0 S | 0 B
54495번째 시행 : 0 S | 1 B
54496번째 시행 : 0 S | 1 B
54497번째 시행 : 1 S | 0 B
54498번째 시행 : 1 S | 0 B
54499번째 시행 : 0 S | 0 B
54500번째 시행 : 0 S | 0 B
54501번째 시행 : 1 S | 0 B
54502번째 시행 : 0 S | 2 B
54503번째 시행 : 0 S | 1 B
54504번째 시행 : 0 S | 1 B
54505번째 시행 : 1 S | 0 B
54506번째 시행 : 0 S | 1 B
54507번째 시행 : 0 S | 0 B
54508번째 시행 : 0 S | 2 B
54509번째 시행 : 0 S | 1 B
54510번째 시행 : 1 S | 0 B
54511번째 시행 : 0 S | 0 B
54512번째 시행 : 0 S | 0 B
54513번째 시행 : 1 S | 1 B
54514번째 시행 : 1 S | 0 B
54515번째 시행 : 0 S | 1 B
54516번째 시행 : 0 S | 0 B
54517번째 시행 : 1 S | 0 B
54518번째 시행 : 1 S | 1 B
54519번째 시행 : 0 S | 1 B
54520번째 시행 : 0 S | 1 B
54521번째 시행 : 0 S | 1 B
54522번째 시행 : 1 S | 0 B
54523번째 시행 : 2 S | 0 B
54524번째 시행 : 1 S | 1 B
54525번째 시행 : 1 S | 1 B
54526번째 시행 : 1 S | 0 B
54527번째 시행 : 0 S | 0 B
54528번째 시행 : 0 S | 1 B
54529번째 시행 : 0 S | 1 B
54530번째 시행 : 0 S | 1 B
54531번째 시행 : 0 S | 1 B
54532번째 시행 : 0 S | 2 B
54533번째 시행 : 0 S | 1 B
54534번째 시행 : 0 S | 0 B
54535번째 시행 : 0 S | 0 B
54536번째 시행 : 0 S | 0 B
54537번째 시행 : 0 S | 0 B
54538번째 시행 : 0 S | 1 B
54539번째 시행 : 1 S | 0 B
54540번째 시행 : 0 S | 0 B
54541번째 시행 : 0 S | 2 B
54542번째 시행 : 0 S | 0 B
54543번째 시행 : 1 S | 1 B
54544번째 시행 : 1 S | 0 B
54545번째 시행 : 1 S | 0 B
54546번째 시행 : 0 S | 0 B
54547번째 시행 : 0 S | 1 B
54548번째 시행 : 0 S | 0 B
54549번째 시행 : 0 S | 0 B
54550번째 시행 : 0 S | 0 B
54551번째 시행 : 0 S | 1 B
54552번째 시행 : 0 S | 0 B
54553번째 시행 : 0 S | 1 B
54554번째 시행 : 0 S | 1 B
54555번째 시행 : 0 S | 2 B
54556번째 시행 : 0 S | 3 B
54557번째 시행 : 0 S | 1 B
54558번째 시행 : 1 S | 0 B
54559번째 시행 : 0 S | 2 B
54560번째 시행 : 0 S | 1 B
54561번째 시행 : 1 S | 0 B
54562번째 시행 : 0 S | 1 B
54563번째 시행 : 1 S | 1 B
54564번째 시행 : 0 S | 0 B
54565번째 시행 : 0 S | 1 B
54566번째 시행 : 0 S | 0 B
54567번째 시행 : 0 S | 0 B
54568번째 시행 : 0 S | 1 B
54569번째 시행 : 0 S | 1 B
54570번째 시행 : 0 S | 2 B
54571번째 시행 : 0 S | 0 B
54572번째 시행 : 0 S | 1 B
54573번째 시행 : 1 S | 1 B
54574번째 시행 : 1 S | 0 B
54575번째 시행 : 0 S | 1 B
54576번째 시행 : 0 S | 1 B
54577번째 시행 : 0 S | 1 B
54578번째 시행 : 0 S | 0 B
54579번째 시행 : 0 S | 0 B
54580번째 시행 : 0 S | 2 B
54581번째 시행 : 0 S | 1 B
54582번째 시행 : 1 S | 2 B
54583번째 시행 : 0 S | 1 B
54584번째 시행 : 2 S | 0 B
54585번째 시행 : 0 S | 1 B
54586번째 시행 : 0 S | 0 B
54587번째 시행 : 0 S | 0 B
54588번째 시행 : 0 S | 2 B
54589번째 시행 : 0 S | 1 B
54590번째 시행 : 0 S | 0 B
54591번째 시행 : 0 S | 1 B
54592번째 시행 : 0 S | 0 B
54593번째 시행 : 0 S | 0 B
54594번째 시행 : 1 S | 1 B
54595번째 시행 : 0 S | 0 B
54596번째 시행 : 0 S | 1 B
54597번째 시행 : 1 S | 0 B
54598번째 시행 : 1 S | 0 B
54599번째 시행 : 0 S | 1 B
54600번째 시행 : 0 S | 1 B
54601번째 시행 : 1 S | 0 B
54602번째 시행 : 0 S | 1 B
54603번째 시행 : 0 S | 1 B
54604번째 시행 : 0 S | 0 B
54605번째 시행 : 0 S | 1 B
54606번째 시행 : 0 S | 0 B
54607번째 시행 : 0 S | 0 B
54608번째 시행 : 0 S | 0 B
54609번째 시행 : 0 S | 0 B
54610번째 시행 : 0 S | 1 B
54611번째 시행 : 1 S | 0 B
54612번째 시행 : 0 S | 0 B
54613번째 시행 : 1 S | 1 B
54614번째 시행 : 0 S | 0 B
54615번째 시행 : 1 S | 1 B
54616번째 시행 : 1 S | 0 B
54617번째 시행 : 0 S | 0 B
54618번째 시행 : 0 S | 1 B
54619번째 시행 : 0 S | 2 B
54620번째 시행 : 0 S | 0 B
54621번째 시행 : 0 S | 1 B
54622번째 시행 : 1 S | 0 B
54623번째 시행 : 1 S | 0 B
54624번째 시행 : 0 S | 1 B
54625번째 시행 : 0 S | 0 B
54626번째 시행 : 1 S | 0 B
54627번째 시행 : 1 S | 0 B
54628번째 시행 : 0 S | 2 B
54629번째 시행 : 0 S | 0 B
54630번째 시행 : 1 S | 1 B
54631번째 시행 : 0 S | 0 B
54632번째 시행 : 0 S | 0 B
54633번째 시행 : 0 S | 1 B
54634번째 시행 : 1 S | 0 B
54635번째 시행 : 1 S | 0 B
54636번째 시행 : 0 S | 1 B
54637번째 시행 : 0 S | 1 B
54638번째 시행 : 1 S | 0 B
54639번째 시행 : 0 S | 1 B
54640번째 시행 : 0 S | 2 B
54641번째 시행 : 0 S | 0 B
54642번째 시행 : 1 S | 0 B
54643번째 시행 : 0 S | 1 B
54644번째 시행 : 0 S | 0 B
54645번째 시행 : 1 S | 1 B
54646번째 시행 : 1 S | 0 B
54647번째 시행 : 0 S | 1 B
54648번째 시행 : 0 S | 1 B
54649번째 시행 : 0 S | 0 B
54650번째 시행 : 0 S | 1 B
54651번째 시행 : 0 S | 1 B
54652번째 시행 : 0 S | 0 B
54653번째 시행 : 2 S | 0 B
54654번째 시행 : 0 S | 2 B
54655번째 시행 : 0 S | 0 B
54656번째 시행 : 0 S | 1 B
54657번째 시행 : 1 S | 1 B
54658번째 시행 : 1 S | 0 B
54659번째 시행 : 0 S | 2 B
54660번째 시행 : 1 S | 1 B
54661번째 시행 : 0 S | 1 B
54662번째 시행 : 0 S | 1 B
54663번째 시행 : 0 S | 2 B
54664번째 시행 : 0 S | 0 B
54665번째 시행 : 0 S | 0 B
54666번째 시행 : 0 S | 1 B
54667번째 시행 : 1 S | 0 B
54668번째 시행 : 0 S | 1 B
54669번째 시행 : 0 S | 1 B
54670번째 시행 : 0 S | 1 B
54671번째 시행 : 0 S | 0 B
54672번째 시행 : 1 S | 0 B
54673번째 시행 : 0 S | 0 B
54674번째 시행 : 0 S | 1 B
54675번째 시행 : 0 S | 0 B
54676번째 시행 : 0 S | 1 B
54677번째 시행 : 1 S | 0 B
54678번째 시행 : 0 S | 0 B
54679번째 시행 : 0 S | 1 B
54680번째 시행 : 1 S | 0 B
54681번째 시행 : 0 S | 2 B
54682번째 시행 : 0 S | 1 B
54683번째 시행 : 0 S | 0 B
54684번째 시행 : 0 S | 0 B
54685번째 시행 : 0 S | 1 B
54686번째 시행 : 0 S | 1 B
54687번째 시행 : 0 S | 2 B
54688번째 시행 : 0 S | 1 B
54689번째 시행 : 0 S | 0 B
54690번째 시행 : 0 S | 2 B
54691번째 시행 : 0 S | 0 B
54692번째 시행 : 1 S | 0 B
54693번째 시행 : 0 S | 0 B
54694번째 시행 : 0 S | 1 B
54695번째 시행 : 0 S | 1 B
54696번째 시행 : 0 S | 1 B
54697번째 시행 : 1 S | 1 B
54698번째 시행 : 2 S | 0 B
54699번째 시행 : 0 S | 0 B
54700번째 시행 : 0 S | 0 B
54701번째 시행 : 0 S | 0 B
54702번째 시행 : 2 S | 0 B
54703번째 시행 : 0 S | 0 B
54704번째 시행 : 0 S | 1 B
54705번째 시행 : 1 S | 0 B
54706번째 시행 : 0 S | 2 B
54707번째 시행 : 0 S | 0 B
54708번째 시행 : 0 S | 2 B
54709번째 시행 : 1 S | 0 B
54710번째 시행 : 0 S | 2 B
54711번째 시행 : 0 S | 1 B
54712번째 시행 : 1 S | 0 B
54713번째 시행 : 1 S | 0 B
54714번째 시행 : 0 S | 2 B
54715번째 시행 : 0 S | 1 B
54716번째 시행 : 0 S | 2 B
54717번째 시행 : 0 S | 1 B
54718번째 시행 : 0 S | 1 B
54719번째 시행 : 1 S | 0 B
54720번째 시행 : 0 S | 1 B
54721번째 시행 : 1 S | 0 B
54722번째 시행 : 0 S | 1 B
54723번째 시행 : 0 S | 1 B
54724번째 시행 : 0 S | 0 B
54725번째 시행 : 0 S | 0 B
54726번째 시행 : 1 S | 1 B
54727번째 시행 : 0 S | 1 B
54728번째 시행 : 0 S | 1 B
54729번째 시행 : 0 S | 0 B
54730번째 시행 : 2 S | 0 B
54731번째 시행 : 0 S | 2 B
54732번째 시행 : 0 S | 1 B
54733번째 시행 : 0 S | 2 B
54734번째 시행 : 0 S | 0 B
54735번째 시행 : 0 S | 0 B
54736번째 시행 : 1 S | 0 B
54737번째 시행 : 0 S | 0 B
54738번째 시행 : 1 S | 0 B
54739번째 시행 : 2 S | 0 B
54740번째 시행 : 0 S | 3 B
54741번째 시행 : 0 S | 0 B
54742번째 시행 : 0 S | 0 B
54743번째 시행 : 0 S | 1 B
54744번째 시행 : 0 S | 0 B
54745번째 시행 : 0 S | 0 B
54746번째 시행 : 0 S | 1 B
54747번째 시행 : 1 S | 1 B
54748번째 시행 : 0 S | 1 B
54749번째 시행 : 1 S | 0 B
54750번째 시행 : 0 S | 1 B
54751번째 시행 : 1 S | 1 B
54752번째 시행 : 0 S | 1 B
54753번째 시행 : 0 S | 0 B
54754번째 시행 : 0 S | 1 B
54755번째 시행 : 1 S | 0 B
54756번째 시행 : 0 S | 1 B
54757번째 시행 : 1 S | 1 B
54758번째 시행 : 0 S | 1 B
54759번째 시행 : 1 S | 0 B
54760번째 시행 : 1 S | 0 B
54761번째 시행 : 1 S | 0 B
54762번째 시행 : 1 S | 0 B
54763번째 시행 : 1 S | 0 B
54764번째 시행 : 0 S | 1 B
54765번째 시행 : 0 S | 0 B
54766번째 시행 : 0 S | 1 B
54767번째 시행 : 0 S | 2 B
54768번째 시행 : 1 S | 1 B
54769번째 시행 : 1 S | 1 B
54770번째 시행 : 0 S | 0 B
54771번째 시행 : 0 S | 2 B
54772번째 시행 : 0 S | 2 B
54773번째 시행 : 0 S | 1 B
54774번째 시행 : 0 S | 1 B
54775번째 시행 : 0 S | 0 B
54776번째 시행 : 0 S | 1 B
54777번째 시행 : 0 S | 1 B
54778번째 시행 : 1 S | 0 B
54779번째 시행 : 0 S | 1 B
54780번째 시행 : 0 S | 0 B
54781번째 시행 : 0 S | 0 B
54782번째 시행 : 0 S | 1 B
54783번째 시행 : 0 S | 1 B
54784번째 시행 : 1 S | 0 B
54785번째 시행 : 1 S | 1 B
54786번째 시행 : 0 S | 1 B
54787번째 시행 : 0 S | 1 B
54788번째 시행 : 0 S | 1 B
54789번째 시행 : 0 S | 1 B
54790번째 시행 : 0 S | 0 B
54791번째 시행 : 0 S | 0 B
54792번째 시행 : 2 S | 0 B
54793번째 시행 : 0 S | 1 B
54794번째 시행 : 0 S | 1 B
54795번째 시행 : 0 S | 0 B
54796번째 시행 : 0 S | 0 B
54797번째 시행 : 0 S | 0 B
54798번째 시행 : 0 S | 1 B
54799번째 시행 : 0 S | 1 B
54800번째 시행 : 0 S | 1 B
54801번째 시행 : 0 S | 1 B
54802번째 시행 : 1 S | 1 B
54803번째 시행 : 0 S | 1 B
54804번째 시행 : 2 S | 0 B
54805번째 시행 : 0 S | 1 B
54806번째 시행 : 0 S | 1 B
54807번째 시행 : 0 S | 2 B
54808번째 시행 : 1 S | 0 B
54809번째 시행 : 0 S | 0 B
54810번째 시행 : 1 S | 0 B
54811번째 시행 : 1 S | 0 B
54812번째 시행 : 0 S | 1 B
54813번째 시행 : 0 S | 1 B
54814번째 시행 : 0 S | 1 B
54815번째 시행 : 0 S | 2 B
54816번째 시행 : 0 S | 1 B
54817번째 시행 : 0 S | 0 B
54818번째 시행 : 0 S | 1 B
54819번째 시행 : 1 S | 0 B
54820번째 시행 : 0 S | 0 B
54821번째 시행 : 0 S | 1 B
54822번째 시행 : 0 S | 0 B
54823번째 시행 : 1 S | 0 B
54824번째 시행 : 0 S | 2 B
54825번째 시행 : 0 S | 1 B
54826번째 시행 : 0 S | 1 B
54827번째 시행 : 1 S | 0 B
54828번째 시행 : 0 S | 1 B
